"elementnummer";"elementtekst";"underelementnummer";"underelementtekst"
10;"Græs";1061;"Rabatgræs"
12;"Blomster";1261;"Løgvækst"
14;"Slyng- og klatreplanter";1410;"Slyng- og klatreplanter"
18;"Hæk";1811;"Hæk"
18;"Hæk";1821;"Hæk"
18;"Hæk";1841;"Fritvoksende hæk"
30;"Vand";3030;"Vand"
40;"Fast belægning";4030;"Kantsten"
43;"Bygværker";4350;"Terrænmur"
43;"Bygværker";4360;"Stendige"
43;"Bygværker";4370;"Bygværker"
43;"Bygværker";4380;"Bygværker"
44;"Udstyr";4430;"Udstyr"
44;"Udstyr";4440;"Udstyr"
44;"Udstyr";4470;"Trådhegn"
44;"Udstyr";4471;"Autoværn"
44;"Udstyr";4472;"Fodhegn"
44;"Udstyr";4473;"Udstyr"
44;"Udstyr";4474;"Saltværn"
80;"Diverse";8010;"Diverse forhindring"
98;"Andet";9800;"Andet"
99;"Ukendt";9900;"Ukendt"
98;"Andet";9810;"Faskiner"
98;"Andet";9820;"Skaterpark"
